11:24:16 333	INFO:check start
11:24:16 333	INFO:start to erase system disk
11:24:16 333	INFO:写入ID_BLOCK成功
11:24:16 333	INFO:开始重启设备
11:24:16 333	INFO:重启设备成功
11:24:16 348	INFO:LoaderThread Finish
11:24:17 902	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=5928
11:24:17 902	INFO:开始测试设备
11:24:18 934	INFO:测试设备成功
11:24:18 934	INFO:开始下载文件
11:24:18 949	INFO: Start to download files to flash,backup offset=0x20000
11:24:18 965	INFO:开始下载文件到Flash
11:24:19 043	Info:RKA_File_Download start,file=misc,offset=0x2000
11:24:19 074	Info:RKA_File_Download start,file=kernel,offset=0x4000
11:24:19 871	Info:RKA_File_Download start,file=boot,offset=0x8000
11:24:20 121	Info:RKA_File_Download start,file=recovery,offset=0x10000
11:24:22 903	Info:RKA_File_Download start,file=system,offset=0x282000
11:25:16 014	INFO: Download files to flash finished,Total(397310325)B
11:25:16 014	INFO: Start to check data
11:25:16 029	INFO:开始校验下载数据
11:25:16 107	Info:RKA_File_Check start,file=misc,offset=0x2000
11:25:16 139	Info:RKA_File_Check start,file=kernel,offset=0x4000
11:25:16 701	Info:RKA_File_Check start,file=boot,offset=0x8000
11:25:16 904	Info:RKA_File_Check start,file=recovery,offset=0x10000
11:25:18 873	Info:RKA_File_Check start,file=system,offset=0x282000
11:25:49 417	INFO:下载文件成功,耗时(90469MS)
11:25:49 433	INFO:执行成功
11:57:19 980	Load Setting ok
11:57:20 012	RKAndroidTool v1.3.7.0 Start Run
11:57:20 012	Scan thread:2644
11:57:20 012	Info:(thread=2488)IoControlProc-->DeviceIoControl In
11:57:20 012	Info:(thread=2488)IoControlProc-->DeviceIoControl Out,ret=1,err=183
11:57:20 012	Info:(thread=6468)IoControlProc-->DeviceIoControl In
11:57:20 012	Info:(thread=6468)IoControlProc-->DeviceIoControl Out,ret=1,err=183
11:57:20 027	Info:(thread=1256)IoControlProc-->DeviceIoControl In
11:57:20 027	Info:(thread=1256)IoControlProc-->DeviceIoControl Out,ret=1,err=183
11:57:20 027	Info:(thread=6444)IoControlProc-->DeviceIoControl In
11:57:20 027	Info:(thread=6444)IoControlProc-->DeviceIoControl Out,ret=1,err=183
11:57:20 027	ProcessID:7780,ThreadID:7452,RefCount:0
11:57:20 027	ProcessID:7780,ThreadID:2644,RefCount:0
11:57:20 027	ProcessID:7780,ThreadID:1256,RefCount:0
11:57:20 027	ProcessID:7780,ThreadID:6444,RefCount:0
11:57:48 629	Info:wait for exiting scan thread start
11:57:48 707	Info:wait for exiting main thread start
11:57:48 707	ProcessID:7780,ThreadID:7452,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:3684,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:8104,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:7528,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:6804,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:7784,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:876,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:6504,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:7476,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:8128,RefCount:0
11:57:48 707	ProcessID:7780,ThreadID:3672,RefCount:0
